"player_id","match_id","kills","deaths","creep_score","gold_per_min","tower_kills","roshan_kills","team_fight","obs_wards_planted","camps_stacked","runes_grabbed","first_blood","stuns","total"
94364925,6255304221,1.5,1.5,1.005,1.11,1,1,1.6666668,0,0.5,0.5,0,1.6550867,11.4367535
192120253,6255304221,0,0,0.123,0.432,0,0,1.33333335,5.5,0,0.25,0,1.025542,8.66387535
125995177,6255304221,0.9,0.9,0.138,0.65,1,0,1.7142858,7.5,2,1.25,0,0,16.0522858
1031547092,6255304221,0.6,2.1,0.468,0.8,0,0,2.14285719,0.5,0,0.75,4,2.0798035,13.44066069
138177198,6255304221,0.9,1.2,0.756,1.212,1,1,1.82142861,0,0.5,0.25,0,2.7077055,11.34713411
131303632,6255304221,3.3,2.4,0.732,1.126,1,0,2.4642858,0.5,0.5,3.5,0,0,15.5222858
119315361,6255304221,2.4,3,1.347,1.454,5,0,1.7142858,0,0,0.75,0,0.07525635,15.74054215
94364925,6255245153,3.6,1.5,1.998,1.504,4,0,1.84615392,0,1.5,3,0,2.9498722,21.89802612
86850560,6255245153,1.2,0.6,0.576,0.666,0,0,2.15384619,1.5,2,1.25,0,3.5359932,13.48183939
194521913,6255245153,4.2,1.5,1.017,0.974,1,1,2.3076924,0,0,0.75,4,1.4161147,18.1648071
133167741,6255245153,1.2,0.6,1.686,1.218,1,0,1.6923078,0.5,1.5,3.25,0,4.26383475,16.91014255
192120253,6255245153,1.2,-0.3,0.111,0.618,0,0,2.0769231,11,1,1,0,0,16.7059231
119315361,6255245153,3.9,1.8,1.578,1.408,6,1,1.9459458,0,1.5,2.5,0,0,21.6319458
1031547092,6255245153,2.4,0.3,0.534,0.864,0,0,2.5135134,1.5,1,0.75,0,5.0882035,14.9497169
138177198,6255245153,2.1,0,1.32,1.118,1,1,2.1891891,0,1.5,1,0,4.1798675,15.4070566
131303632,6255245153,2.1,1.5,1.155,1.086,0,0,1.9459458,1.5,1,3.75,0,8.4183,22.4552458
125995177,6255245153,0.3,-0.3,0.255,0.64,0,0,1.4594595,10.5,2.5,0.75,0,2.0900614,18.1945209
412758827,6251891634,0.9,1.5,0.627,0.71,0,0,1.73684211,0.5,3,2.5,0,0.5029175,11.97675961
86975889,6251891634,1.5,1.5,0.63,0.8,2,0,1.5789474,0,0,0.5,0,1.7390535,10.2480009
236858633,6251891634,0.3,0,0.255,0.486,0,1,1.5789474,2,0.5,0,0,3.3479187,9.4678661
177203952,6251891634,2.7,1.8,1.176,1.16,0,0,1.73684211,0,0,0.5,0,1.3981251,10.47096721
138880576,6251891634,0,-0.6,0.096,0.398,0,0,0.94736838,7,0.5,1,0,4.9768495,14.31821788
86850560,6251891634,0.6,0.9,0.069,0.586,0,0,1.7499999,1.5,1,1,0,3.5463635,10.9513634
194521913,6251891634,1.8,2.4,0.702,1.004,2,0,2.25,0,1,0.5,0,0,11.656
94364925,6251891634,2.1,2.7,1.776,1.73,8,1,1.9166667,0,4.5,1.75,0,1.72901,27.2016767
133167741,6251891634,4.5,2.1,0.675,1.076,0,0,2.25,1,1,3.5,0,2.3155733,18.4165733
192120253,6251891634,1.2,1.2,0.147,0.674,0,0,1.24999998,6,1,0.75,0,1.19611875,13.41711873
277196834,6251838948,0,-0.9,0.198,0.558,0,1,1.5882354,8,1.5,0.5,0,0,12.4442354
192120253,6251838948,0.9,0,0.291,0.628,0,0,1.94117652,3.5,0.5,0.5,0,0,8.26017652
194521913,6251838948,1.2,1.2,1.044,0.998,3,0,2.7352941,0,0,2,0,0.115390135,12.292684235
94364925,6251838948,3.9,0.9,1.254,1.242,1,1,2.1176472,0,0.5,1.5,0,1.11046,14.5241072
133167741,6251838948,3.9,1.2,1.185,1.226,0,0,2.2941177,0.5,0,2.25,0,6.613668,19.1687857
236858633,6251838948,1.8,2.4,0.585,0.822,0,0,2.0714286,2,1,1.5,0,4.0260675,16.2044961
177203952,6251838948,4.5,0.9,1.656,1.62,7,2,2.14285719,0,1.5,1.5,0,3.7285375,26.54739469
86975889,6251838948,3.9,2.1,0.999,1.098,0,0,2.64285708,0,0,1.5,0,3.5323415,15.77219858
138880576,6251838948,0.3,-2.1,0.06,0.646,0,0,1.92857139,9.5,1,0.5,0,2.0713985,13.90596989
412758827,6251838948,1.8,1.2,1.038,1.108,1,0,1.7857143,0.5,3,3.75,4,3.4145092,22.5962235
194521913,6250098807,2.1,1.2,0.483,0.796,0,0,2.6000001,0,0,0.75,0,2.1815563,10.1105564
86850560,6250098807,0.6,0.3,0.138,0.556,0,0,2.0000001,2,3,1.25,4,1.6001095,15.4441096
133167741,6250098807,0.9,0,0.498,0.788,0,0,1.8,1,0,1.5,0,0,6.486
94364925,6250098807,0.3,1.5,0.882,1.038,2,0,1.8,0,0,0.75,0,1.5105957,9.7805957
192120253,6250098807,0.6,-0.6,0.081,0.492,0,0,2.4,4.5,1.5,0.25,0,0.5168889,9.7398889
248180032,6250098807,1.5,2.4,0.33,0.76,0,0,2.2857144,1.5,2,0.25,0,0,11.0257144
180775030,6250098807,2.7,1.8,0.594,0.992,0,0,1.85714292,0.5,2.5,3,0,1.9375615,15.88070442
408729743,6250098807,1.2,1.8,0.615,1.022,3,0,1.92857139,0,0,1,0,2.193946,12.75951739
99796146,6250098807,1.2,1.8,0.15,0.69,0,0,2.0000001,5.5,2,0.5,0,4.10818175,17.94818185
191290281,6250098807,6,2.4,0.804,1.458,3,2,1.92857139,0,0.5,0.5,0,0.5535679,19.14413929
194521913,6250040482,1.2,0.6,0.468,0.742,0,0,2.7,0,0,0,0,1.80540235,7.51540235
86850560,6250040482,0.9,0.6,0.219,0.65,0,0,2.7,1.5,3,0.75,0,1.13508865,11.45408865
133167741,6250040482,0,1.5,0.936,1.006,2,0,1.5,0.5,1.5,2.25,0,0.8962598,12.0882598
94364925,6250040482,0.3,2.1,1.047,1.118,0,0,1.8,0,0,0,0,0.728001,7.093001
192120253,6250040482,0,0,0.048,0.398,0,0,1.5,6.5,0,0,0,1.0271206,9.4731206
248180032,6250040482,0.3,3,0.468,0.786,0,0,1.5882354,1,2.5,2,0,0,11.6422354
180775030,6250040482,2.7,2.1,0.795,1.138,1,1,2.0294118,0.5,1,2.5,0,3.1814934,17.9439052
191290281,6250040482,3.6,2.7,1.248,1.524,1,1,2.3823528,0,0,2.25,0,0.5057318,16.2100846
408729743,6250040482,3,2.1,0.696,1.112,3,0,1.94117652,0,0,0,4,0.501709,16.35088552
99796146,6250040482,0.6,1.8,0.192,0.662,1,0,2.55882348,7,2,1.75,0,0,17.56282348
110448679,6170966494,1.5,1.5,0.081,0.648,0,0,1.67441868,4.5,1.5,0.5,4,1.4134039,17.31682258
126238768,6170966494,4.2,2.4,0.717,1.2,3,1,2.5116279,1,0,2.75,0,1.5182043,20.2968322
43276219,6170966494,3,3,0.954,1.304,4,1,2.0232558,0,1.5,1.25,0,1.5920927,19.6233485
50828662,6170966494,1.8,2.4,0.426,0.838,2,0,1.32558141,1,1.5,0.75,0,1.4882801,13.52786151
84429681,6170966494,2.4,2.1,0.597,0.924,0,0,2.23255812,0.5,0.5,0.75,0,0,10.00355812
114585639,6170966494,0.3,-0.3,0.12,0.412,0,0,1.5,0.5,2,0.25,0,3.59824,8.38024
361688848,6170966494,1.8,1.5,0.87,1.082,1,0,2.4999999,0,0,0.25,0,1.16776735,10.16976725
230580807,6170966494,0.3,0.9,0.642,0.794,0,0,2.25,1,1.5,2.25,0,1.443811,11.079811
169405715,6170966494,1.2,-0.6,0.477,0.73,1,0,2.4999999,0.5,0.5,0.75,0,2.03408375,9.09108365
207916561,6170966494,0,0.6,0.078,0.374,0,0,2.0000001,6,1,1.25,0,0,11.3020001
110448679,6170919180,0.6,1.5,0.108,0.636,0,0,2.6000001,5.5,0,0.25,0,1.1338751,12.3278752
126238768,6170919180,1.2,2.7,0.396,0.926,0,0,1.8,0.5,0,1.75,0,1.9267029,11.1987029
43276219,6170919180,1.2,3,0.978,1.538,8,1,2.0000001,0,0,0,0,0,17.7160001
50828662,6170919180,0.3,3,0.396,0.868,0,0,2.0000001,0.5,6,0.5,0,0,13.5640001
84429681,6170919180,1.2,2.4,0.447,0.928,2,0,2.20000005,0,0,1.75,0,0.82144775,11.7464478
